Лесной городок (А1 ОК 5861,5863)
=============================================
2026-04-09 10:50:59,766 - ERROR - Ошибка порта: could not open port 'COM1': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
2026-04-09 11:39:39,947 - INFO - Порт закрыт
2026-04-09 11:39:45,689 - INFO - Порт COM3 открыт. Ищем заголовки 4861...
2026-04-09 11:59:12,022 - INFO - Получено 1 байт: 76
2026-04-09 11:59:12,024 - INFO - Получено 1 байт: ee
2026-04-09 11:59:12,027 - INFO - Получено 1 байт: 6e
2026-04-09 11:59:12,028 - INFO - Получено 1 байт: cd
2026-04-09 11:59:12,030 - INFO - Получено 1 байт: ee
2026-04-09 11:59:12,034 - INFO - Получено 1 байт: ee
2026-04-09 11:59:12,035 - INFO - Получено 2 байт: ffbb
2026-04-09 11:59:12,037 - INFO - Получено 1 байт: 3e
2026-04-09 11:59:12,606 - INFO - Получено 1 байт: ee
2026-04-09 11:59:12,982 - INFO - Получено 10 байт: dffbfffdfbffffff7bff
2026-04-09 11:59:12,982 - INFO - Получено 1 байт: af
2026-04-09 11:59:12,983 - INFO - Получено 4 байт: 51974f3d
2026-04-09 11:59:12,983 - INFO - Получено 1 байт: 57
2026-04-09 11:59:12,985 - INFO - Получено 4 байт: add5d5fd
2026-04-09 11:59:12,985 - INFO - Получено 4 байт: fe555555
2026-04-09 11:59:12,986 - INFO - Получено 2 байт: 05aa
2026-04-09 11:59:13,452 - INFO - Получено 2 байт: fefd
2026-04-09 11:59:13,509 - INFO - Получено 1 байт: ce
2026-04-09 11:59:13,582 - INFO - Получено 9 байт: b7fffdfbffffff7bff
2026-04-09 11:59:13,582 - INFO - Получено 1 байт: ad
2026-04-09 11:59:13,583 - INFO - Получено 4 байт: 53974f3d
2026-04-09 11:59:13,584 - INFO - Получено 5 байт: 576b5d5d5d
2026-04-09 11:59:13,584 - INFO - Получено 4 байт: fe555555
2026-04-09 11:59:13,586 - INFO - Получено 2 байт: 05aa
2026-04-09 11:59:13,586 - INFO - Получено 2 байт: 9a4c
2026-04-09 11:59:13,712 - INFO - Получено 1 байт: bb
2026-04-09 11:59:14,185 - INFO - Получено 10 байт: b7fffdfbffffff7bffab
2026-04-09 11:59:14,186 - INFO - Получено 4 байт: 55974f3d
2026-04-09 11:59:14,186 - INFO - Получено 1 байт: 57
2026-04-09 11:59:14,188 - INFO - Получено 4 байт: b55757d7
2026-04-09 11:59:14,188 - INFO - Получено 4 байт: fe555555
2026-04-09 11:59:14,189 - INFO - Получено 2 байт: 05aa
2026-04-09 11:59:14,784 - INFO - Получено 11 байт: dffbfffdfbffffff7bffa9
2026-04-09 11:59:14,785 - INFO - Получено 4 байт: 57974f3d
2026-04-09 11:59:14,785 - INFO - Получено 5 байт: 576a5d5d5d
2026-04-09 11:59:14,786 - INFO - Получено 4 байт: fe555555
2026-04-09 11:59:14,788 - INFO - Получено 2 байт: 05aa
2026-04-09 11:59:14,788 - INFO - Получено 2 байт: 9a5c
2026-04-09 11:59:15,384 - INFO - Получено 8 байт: dffbfffdfbffffff
2026-04-09 11:59:15,384 - INFO - Получено 3 байт: 7bffa7
2026-04-09 11:59:15,385 - INFO - Получено 4 байт: 59974f3d
2026-04-09 11:59:15,386 - INFO - Получено 5 байт: 575a5757d7
